xd772	0.05
xd773	0.02
xd774	0
xd775	0.02
xd776	0.02
xd777	0.02
xd778	0.03
xd779	0.05
xd780	0.04
xd781	0.03
xd782	0.01
xd783	0.12
xd784	0.04
xd785	0
xd786	0
xd787	0
xd788	0.02
xd789	0.03
xd790	0.05
xd791	0.02
xd792	0.01
xd793	0.01
xd794	0.01
xd795	0.04
xd796	0.03
xd797	0.05
xd798	0.05
xd799	0.05
xd800	0
xd801	0.08
xd802	0.03
xd803	0.01
xd804	0.04
xd805	0.01
xd806	0.02
xd807	0.02
xd808	0
xd809	0
xd810	-0.014
xd811	0
xd812	-0.01
xd813	0.02
xd814	0
xd815	-0.01
xd816	-0.01
xd817	0.03
xd818	0.02
xd819	0.02
xd820	0.02
xd821	0
xd822	0.04
xd823	0.03
xd824	0.01
xd825	0.01
xd826	0.09
xd827	0.01
xd828	0.05
xd829	0.06
xd830	0.02
xd831	-0.01
xd832	0.05
xd833	0.01
xd834	0.01
xd835	0.01
xd836	0.04
xd837	0.04
xd838	0.01
xd839	0
xd840	0.05
xd841	0.01
xd842	0
xd843	0.03
xd844	0.05
xd845	0.05
xd846	0.05
xd847	0
xd848	0
xd849	0
xd850	-0.01
xd851	0
xd852	0.04
xd853	0.03
xd854	0.02
xd855	0.02
xd856	0.02
xd857	0.03
xd858	0.05
xd859	0
xd860	0.04
xd861	0.03
xd862	0.06
xd863	0.03
xd864	0.03
xd865	0.03
xd866	0.03
xd867	0.11
xd868	0.02
xd869	0
xd870	0.03
xd871	0.09
xd872	0.06
xd873	0.04
xd874	0.01
xd875	0.02
xd876	0.03
xd877	0
xd878	0.03
xd879	0.12
xd880	0.121
xd881	0.02
xd882	0.02
xd883	0.06
xd884	0.03
xd885	0.05
xd886	0.04
xd887	0.11
xd888	0.11
xd889	0.13
xd890	0.05
xd891	0.13
xd892	0.05
xd893	0.1
xd894	0.05
xd895	0.15
xd896	0.05
xd897	0.05
xd898	0.09
xd992	0.08
xd995	0.08
xd1022	0.03
xd1025	0.03
xd1026	0.02
xd1027	0.02
xd1028	0.03
xd1029	0
xd1030	0.07
xd1031	0.07
xd1032	0.09
xd1033	0.09
xd1034	0.09
xd1035	0.07
xd1036	0.07
xd1037	0.07
xd1038	0.05
xd1039	0.06
xd1040	0.07
xd1041	0.04
xd1042	0.08
xd1043	0.08
xd1044	0.07
xd1045	0.1
xd1046	0.07
xd1047	0.1
xd1048	0.07
xd1049	0.08
xd1050	0.01
xd1051	0.15
xd1052	0.09
xd1053	0.07
xd1054	0.15
xd1055	0.08
xd1056	0.03
xd1057	0.3
xd1058	0.25
xd1059	0.19
xd1060	0.03
xd1061	0.04
xd1062	0.05
xd1063	0.06
xd1064	0.02
xd1065	0.05
xd1066	0.07
xd1067	0.12
xd1068	0.06
xd1069	0.085
xd1070	0.07
xd1071	0.07
xd1072	0.07
xd1073	0.07
xd1074	0.07
xd1075	0.09
xd1076	0.08
xd1077	0.07
xd1078	0.1
xd1079	0.1
xd1080	0.08
xd1081	0.09
xd1082	0.07
xd1083	0.07
xd1084	0.09
xd1085	0.09
xd1086	0.07
xd1087	0.07
xd1088	0.09
xd1089	0.09
xd1090	0.06
xd1091	0.09
xd1092	0.08
xd1093	0.09
xd1094	0.09
xd1095	0.09
xd1096	0.09
xd1097	0.09
xd1098	0.09
xd1099	0.09
xd1100	0.09
xd1101	0.1
xd1102	0.06
xd1103	0.08
xd1104	0.07
xd1105	0.07
xd1106	0.07
xd1107	0.1
xd1108	0.09
xd1109	0.09
xd1110	0.1
xd1111	0.1
xd1112	0.09
xd1113	0.09
xd1114	0.09
xd1115	0.09
xd1116	0.09
xd1117	0.09
xd1118	0.1
xd1119	0.09
xd1120	0.09
xd1121	0.1
xd1122	0.08
xd1123	0.09
xd1124	0.09
xd1125	0.18
xd1126	0.09
xd1127	0.15
xd1128	0.18
xd1129	0.1
xd1130	0.08
